status	word	file_or_reason
applied	aah	wiki.txt
applied	ableism	lemma_sentences.txt
applied	abuse	wiki.txt
applied	accused	wiki.txt
applied	acoustical	wiki.txt
applied	acoustician	wiki.txt
applied	actress's	lemma_sentences.txt
applied	actuaries	wiki.txt
applied	adaptations	wiki.txt
applied	addicted	dialogues.txt
applied	addresses	wiki.txt
applied	adverb	wiki.txt
applied	african's	lemma_sentences.txt
applied	ageism	lemma_sentences.txt
applied	agents	dialogues.txt
applied	agreeing	wiki.txt
applied	ah-ha	lemma_sentences.txt
applied	airliners	wiki.txt
applied	allegiance	cause_seq.txt
applied	almosts	lemma_sentences.txt
applied	alto	wiki.txt
applied	animator	wiki.txt
applied	announcer's	stories.txt
applied	anthills	lemma_sentences.txt
applied	antler	wiki.txt
applied	anybody	dialogues.txt
applied	archaeon	lemma_sentences.txt
applied	archivist	wiki.txt
applied	archivists	wiki.txt
applied	arctic's	lemma_sentences.txt
applied	baybayin	wiki.txt
applied	bc	wiki.txt
applied	bebop	wiki.txt
applied	beeeeh	wiki.txt
applied	beta	dialogues.txt
applied	betrothed	wiki.txt
applied	boom-like	lemma_sentences.txt
applied	boom-stick	wiki.txt
applied	boops	lemma_sentences.txt
applied	boost	cause_seq.txt
applied	boosters	wiki.txt
applied	borderland	wiki.txt
applied	borer	cause_seq.txt
applied	borrowing	wiki.txt
applied	borrows	wiki.txt
applied	borscht	cause_seq.txt
applied	bot	chained.txt
applied	bottle's	lemma_sentences.txt
applied	boulder	lemma_sentences.txt
applied	boundary	lemma_sentences.txt
applied	bowl-shaped	wiki.txt
applied	bowmen	lemma_sentences.txt
applied	box's	cause_seq.txt
applied	braces	wiki.txt
applied	brain's	wiki.txt
applied	bravery	lemma_sentences.txt
applied	bray	wiki.txt
applied	brazil's	lemma_sentences.txt
applied	bread's	lemma_sentences.txt
applied	bronchitis	lemma_sentences.txt
applied	brown-red	lemma_sentences.txt
applied	brownies	lemma_sentences.txt
applied	brutalism	lemma_sentences.txt
applied	bubblegum	lemma_sentences.txt
applied	bucket's	lemma_sentences.txt
applied	buddhas	lemma_sentences.txt
applied	budget	lemma_sentences.txt
applied	budgie	wiki.txt
applied	budgies	wiki.txt
applied	building's	lemma_sentences.txt
applied	bulb's	cause_seq.txt
applied	bull's	chained.txt
applied	bulldozer	wiki.txt
applied	bulldozers	wiki.txt
applied	bullheads	wiki.txt
applied	bunt	lemma_sentences.txt
applied	burping	wiki.txt
applied	bush's	cause_seq.txt
applied	busy-body	lemma_sentences.txt
applied	butchers	wiki.txt
applied	butler	wiki.txt
applied	butlers	wiki.txt
applied	buttermilk	cause_seq.txt
applied	buttoned	stories.txt
applied	buttonhole	wiki.txt
applied	buttresses	wiki.txt
applied	buyers	lemma_sentences.txt
applied	buzzers	wiki.txt
applied	cactuses	wiki.txt
applied	cadmium	wiki.txt
applied	cake-making	lemma_sentences.txt
applied	calfskin	lemma_sentences.txt
applied	call-and-answer	wiki.txt
applied	caller	cause_seq.txt
applied	calmer	wiki.txt
applied	calorimeter	wiki.txt
applied	camellias	wiki.txt
applied	campervan	wiki.txt
applied	campsite	wiki.txt
applied	campus	stories.txt
applied	canal's	lemma_sentences.txt
applied	candidates	cause_seq.txt
applied	candle's	lemma_sentences.txt
applied	candlelight	cause_seq.txt
applied	candy-filled	wiki.txt
applied	canoeing	wiki.txt
applied	canopy	wiki.txt
applied	capillaries	wiki.txt
applied	capsicums	counting.txt
applied	captains	wiki.txt
applied	caption	cause_seq.txt
applied	carabiners	wiki.txt
applied	caravans	wiki.txt
applied	cardiologists	wiki.txt
applied	careless	lemma_sentences.txt
applied	caribbean's	lemma_sentences.txt
applied	caroling	wiki.txt
applied	carpool	wiki.txt
applied	carrier's	cause_seq.txt
applied	cartographers	wiki.txt
applied	catnip	lemma_sentences.txt
applied	cava	wiki.txt
applied	checkups	lemma_sentences.txt
applied	chewed-up	wiki.txt
applied	chima	cause_seq.txt
applied	chromosomes	lemma_sentences.txt
applied	chunk	wiki.txt
applied	chunnel	wiki.txt
applied	circle's	lemma_sentences.txt
applied	citizenships	wiki.txt
applied	class's	lemma_sentences.txt
applied	classwork	lemma_sentences.txt
applied	cleanly	wiki.txt
applied	climax	wiki.txt
applied	cloth's	lemma_sentences.txt
applied	cloud-like	counting.txt
applied	club's	lemma_sentences.txt
applied	clutches	wiki.txt
applied	coat's	lemma_sentences.txt
applied	come-a-wassailing	wiki.txt
applied	compact	wiki.txt
applied	comparative	wiki.txt
applied	compiler	wiki.txt
applied	complained	chained.txt
applied	cone-shaped	wiki.txt
applied	cookers	wiki.txt
applied	cornbread	wiki.txt
